FileName;Properties;fr_FR;nl_NL;de_DE;en_HK;en_US;es_ES;en_GB
account;account.user.registration.editaccount;Données personnelles;Persoonlijke gegevens;;;;;
account;account.user.registration.editname;Modifier nom / email;Mijn gegevens;;;;;
account;account.user.registration.name;Nom / Email;Naam / e-mail;;;;;
account;account.addressbook.addressinclude.delete;Supprimer;;;;;;
account;account.addressbook.addressinclude.delete.label;Supprimer cette adresse;;;;;;
account;account.addressbook.addressinclude.edit.label;Modifier cette adresse;;;;;;
account;account.addressbook.addresslist.create;Créer une adresse;Adres toevoegen;;;;;
account;account.addressbook.addresslist.create.label;Créer une adresse pour ce compte;;;;;;
account;account.addressbook.addresslist.header;Adresses;Adressen;;;;;
account;account.addressbook.editaddress.addaddress;Ajouter une adresse;;;;;;
account;account.addressbook.editaddress.defaultaddress;Adresse par défaut;;;;;;
account;account.addressbook.editaddress.editaddress;Modifier l'adresse;;;;;;
account;account.addressbook.editaddress.makedefaultaddress;Adresse par défaut;;;;;;
account;account.addressbook.miniaddress.phone;Téléphone :;Telefoon:;;;;;
account;account.addressbook.miniaddress.registrywishlist;(Liste de cadeaux/souhaits);;;;;;
account;account.facebook.newcustomer;Nouveau client;;;;;;
account;account.facebook.usefbtoregister;Utiliser Facebook pour s'enregistrer;;;;;;
account;account.giftregistry.addgiftcert;Chèques-cadeaux;;;;;;
account;account.giftregistry.addgiftcertmessage;Voulez-vous que les chèques-cadeaux figurent dans votre liste de cadeaux ? Si vous cliquez sur Chèques-cadeaux, vos parents et amis sauront que cela fait partie de vos envies.;;;;;;
account;account.giftregistry.addresses.beforeheader;Adresse de livraison avant l'événement;;;;;;
account;account.giftregistry.addresses.beforemessage;Cette adresse est le lieu où les cadeaux de votre liste seront envoyés avant votre événement. Indiquez l'adresse de livraison après l'événement si le lieu de livraison change après votre événement.;;;;;;
account;account.giftregistry.addresses.postheader;Adresse de livraison après l'événement;;;;;;
account;account.giftregistry.addresses.postmessage;Cette adresse est le lieu où les cadeaux de votre liste seront envoyés après votre événement.;;;;;;
account;account.giftregistry.addresses.usepreevent;Utiliser l'adresse de livraison avant l'événement;;;;;;
account;account.giftregistry.advanced;Recherche avancée;;;;;;
account;account.giftregistry.closeadvanced;Arrêter la recherche avancée;;;;;;
account;account.giftregistry.deleteregistryconfirm;Voulez-vous supprimer cette liste de cadeaux ?;;;;;;
account;account.giftregistry.emptyadd;Ajouter des articles;;;;;;
account;account.giftregistry.eventparticipant.eventinfo;Informations sur l'événement;;;;;;
account;account.giftregistry.eventparticipant.first;Premier participant;;;;;;
account;account.giftregistry.eventparticipant.participants;Informations sur les participants;;;;;;
account;account.giftregistry.eventparticipant.second;Second participant;;;;;;
account;account.giftregistry.giftregnoitems;Votre liste de cadeaux ne contient aucun article.;;;;;;
account;account.giftregistry.makeregprivate;Rendre cette liste privée;;;;;;
account;account.giftregistry.makeregpublic;Rendre cette liste publique;;;;;;
account;account.giftregistry.owner;Liste de cadeaux ({0});;;;;;
account;account.giftregistry.searchheader;Recherche de la liste de cadeaux d'une personne;;;;;;
account;account.giftregistry.searchmessage;Vous pouvez également rechercher la liste de cadeaux d'autres personnes à l'aide de la fonction de recherche de listes de cadeaux;;;;;;
account;account.giftregistry.title;Liste de cadeaux;;;;;;
account;account.giftregistry.userinformation;Informations sur l'utilisateur;;;;;;
account;account.header;Mon compte;Mijn account;;;;;
account;account.header.creataccount;Création de compte;Account aanmaken;;;;;
account;account.lockoutemail.message1;Votre compte est temporairement verrouillé car le nombre maximum de tentatives infructueuses de connexion a été dépassé.;;;;;;
account;account.lockoutemail.message2;Veuillez réessayer de vous connecter ultérieurement.;;;;;;
account;account.lockoutemail.message3;Si vous pensez avoir reçu cet e-mail par erreur, contactez le service client.;;;;;;
account;account.lockoutemail.message4;Cet e-mail est généré automatiquement, merci de ne pas y répondre.;;;;;;
account;account.lockoutemail.title;Votre compte;;;;;;
account;account.login.checkmessage;Affichez votre commande même si vous n'êtes pas un utilisateur enregistré. Saisissez le numéro de la commande ainsi que le code postal de l'adresse de facturation.;Uw bestelling weergeven terwijl u geen geregistreerd gebruiker bent. Vul het bestelnummer in en de postcode van het factuuradres.;;;;;
account;account.login.logininclude.customersheader;Connectez-vous;Inloggen;;;;;
account;account.login.logininclude.forgotpassword;Mot de passe oublié ?;Wachtwoord vergeten?;;;;;
